restaurant_name,rating,price_for_one,cuisine,item_name,description,price
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Chole Thali,,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Paratha Combo,Chole/Rajma+3 Paratha+Salad [Subject to Availability],₹199
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Paratha Combo,,₹199
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Chowmein,"Chinese stir fried noodles dish, loaded with crunchy vegetables and tender protein, seasoned ... read more",₹100
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Chowmein,,₹100
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Macaroni,"Tender pasta tubes cooked al dente and tossed in a creamy, flavorful sauce, ... read more",₹100
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Macaroni,,₹100
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Vegetable Noodles,Fresh vegetable and noodles sweet and spicy.,₹120
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Vegetable Noodles,,₹120
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Macaroni And Cheese,Cheesey,₹140
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Macaroni And Cheese,,₹140
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Veg Macaroni,Vegee,₹120
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Veg Macaroni,,₹120
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Noodles,Chowmein Noodles.,₹110
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Noodles,,₹110
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Paneer Noodles,Noodles with paneer.,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Paneer Noodles,,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Margherita Pizza,Pizza,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Margherita Pizza,Hand tossed margherita pizza classic Italian with fresh Mozzarella.,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Margherita Pizza,,₹200
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Onion Pizza,Hand tossed onion pizza handcrafted with thinly sliced onions top a golden crust ... read more,₹220
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Onion Pizza,,₹220
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Capsicum Pizza,Hand tossed onion pizza handcrafted with thinly sliced capsicum atop a golden crust ... read more,₹220
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Capsicum Pizza,,₹220
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Corn Pizza,Freshly hand tossed corn pizza a savory delight with sweet corn top a ... read more,₹220
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Corn Pizza,,₹220
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Tomato Pizza,Freshly hand tossed tomato pizza: a classic with ripe tomato slices on a ... read more,₹220
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Tomato Pizza,,₹220
Moye Moye Munchies,3.3,₹150 for one,"Momos, Pizza, Sandwich, Fast Food, Street Food, Biryani, Shake",Onion Tomato Pizza,Freshly hand tossed tomato pizza a classic with ripe tomato slices and onion ... read more,₹220
